run_timestamp,results_format,topic,experiment,phase,eval_split,train_split,n,accuracy,macro_f1,total_seconds,n_synthetic,classifier,run_dir
2026-05-30 10:54:17,session,baseline,exp03_multi_iter,post,holdout_500,train_2k,500,0.826,0.8256,21.9719,315.0,modernbert_linear_probe,baseline/exp03_multi_iter/20260530_105417
2026-05-30 10:03:09,session,baseline,exp04_rare_class,final,eval_1000,train_pool_downsampled,1000,0.81,0.8123,503.9498,128.0,modernbert_linear_probe,baseline/exp04_rare_class/20260530_100309
2026-05-29 10:14:02,legacy,synthetic,exp04_rare_class,eval_1000,eval_1000,train_pool_downsampled,1000,0.807,0.8094,502.1184,128.0,modernbert_linear_probe,synthetic/exp04__Domain__pool_downsampled__eval_1000/20260529_101402
2026-05-29 10:20:01,legacy,synthetic,exp05_donor_ablation,holdout_500,holdout_500,train_2k,500,0.802,0.8013,168.0675,,modernbert_linear_probe,synthetic/exp05__Domain__train_2k+donor__holdout_500/20260529_102001
2026-05-30 10:11:40,session,baseline,exp07_pair_boundary,post,holdout_500,train_2k,500,0.8,0.7994,20.4114,58.0,modernbert_linear_probe,baseline/exp07_pair_boundary/20260530_101140
2026-05-29 13:16:26,legacy,synthetic,exp08_validated,holdout_500,holdout_500,train_2k,500,0.796,0.7954,165.895,104.0,modernbert_linear_probe,synthetic/exp08__Domain__train_2k+validated__holdout_500/20260529_131626
2026-05-29 09:16:02,legacy,synthetic,exp02_failure_synth,holdout_500,holdout_500,train_2k,500,0.796,0.7947,168.3954,104.0,modernbert_linear_probe,synthetic/exp02__Domain__train_2k+synth__holdout_500/20260529_091602
2026-05-29 09:43:10,legacy,synthetic,exp03_multi_iter,holdout_500,holdout_500,train_2k,500,0.796,0.7946,20.8395,,modernbert_linear_probe,synthetic/exp03__iter03__holdout_500/20260529_094310
2026-05-30 10:40:14,session,baseline,exp01_baseline,final,eval_1000,train_2k,1000,0.794,0.7943,42.0701,0.0,modernbert_linear_probe,baseline/exp01_baseline/20260530_104014
2026-05-29 08:58:53,legacy,synthetic,exp01_baseline,eval_1000,eval_1000,train_2k,1000,0.794,0.7943,41.5875,,modernbert_linear_probe,synthetic/exp01__Domain__train_2k__eval_1000/20260529_085853
2026-05-29 10:20:42,legacy,synthetic,exp05_donor_ablation,eval_1000,eval_1000,train_2k,1000,0.793,0.7932,40.2649,,modernbert_linear_probe,synthetic/exp05__Domain__train_2k+donor__eval_1000/20260529_102042
2026-05-30 10:11:40,session,baseline,exp07_pair_boundary,final,eval_1000,train_2k,1000,0.791,0.7917,166.47,58.0,modernbert_linear_probe,baseline/exp07_pair_boundary/20260530_101140
2026-05-30 10:54:17,session,baseline,exp03_multi_iter,pre_iter03,holdout_500,train_2k,500,0.792,0.7908,21.0453,315.0,modernbert_linear_probe,baseline/exp03_multi_iter/20260530_105417
2026-05-30 10:54:17,session,baseline,exp03_multi_iter,pre_iter01,holdout_500,train_2k,500,0.792,0.7906,149.6924,315.0,modernbert_linear_probe,baseline/exp03_multi_iter/20260530_105417
2026-05-30 10:41:31,session,baseline,exp02_failure_synth,pre,holdout_500,train_2k,500,0.792,0.7906,34.0784,104.0,modernbert_linear_probe,baseline/exp02_failure_synth/20260530_104131
2026-05-30 10:40:14,session,baseline,exp01_baseline,baseline,holdout_500,train_2k,500,0.792,0.7906,33.0243,0.0,modernbert_linear_probe,baseline/exp01_baseline/20260530_104014
2026-05-30 10:11:40,session,baseline,exp07_pair_boundary,pre,holdout_500,train_2k,500,0.792,0.7906,149.2586,58.0,modernbert_linear_probe,baseline/exp07_pair_boundary/20260530_101140
2026-05-29 12:59:54,legacy,synthetic,exp08_validated,holdout_500_pre,holdout_500,train_2k,500,0.792,0.7906,33.1623,,modernbert_linear_probe,synthetic/exp08__Domain__train_2k__holdout_500_pre/20260529_125954
2026-05-29 12:54:19,legacy,synthetic,exp07_pair_boundary,holdout_500_pre,holdout_500,train_2k,500,0.792,0.7906,165.0683,,modernbert_linear_probe,synthetic/exp07__Domain__train_2k__holdout_500_pre/20260529_125419
2026-05-29 10:16:47,legacy,synthetic,exp05_donor_ablation,holdout_500_pre,holdout_500,train_2k,500,0.792,0.7906,162.932,,modernbert_linear_probe,synthetic/exp05__Domain__train_2k__holdout_500_pre/20260529_101647
2026-05-29 09:19:34,legacy,synthetic,exp03_multi_iter,holdout_500,holdout_500,train_2k,500,0.792,0.7906,166.7452,,modernbert_linear_probe,synthetic/exp03__iter01__holdout_500/20260529_091934
2026-05-29 09:02:02,legacy,synthetic,exp02_failure_synth,holdout_500_pre,holdout_500,train_2k,500,0.792,0.7906,34.2751,,modernbert_linear_probe,synthetic/exp02__Domain__train_2k__holdout_500_pre/20260529_090202
2026-05-29 08:58:11,legacy,synthetic,exp01_baseline,holdout_500,holdout_500,train_2k,500,0.792,0.7906,190.3492,,modernbert_linear_probe,synthetic/exp01__Domain__train_2k__holdout_500/20260529_085811
2026-05-29 13:17:08,legacy,synthetic,exp08_validated,eval_1000,eval_1000,train_2k,1000,0.79,0.7902,40.7691,,modernbert_linear_probe,synthetic/exp08__Domain__train_2k+validated__eval_1000/20260529_131708
2026-05-29 09:31:18,legacy,synthetic,exp03_multi_iter,holdout_500,holdout_500,train_2k,500,0.79,0.7894,21.2033,,modernbert_linear_probe,synthetic/exp03__iter02__holdout_500/20260529_093118
2026-05-30 10:41:31,session,baseline,exp02_failure_synth,final,eval_1000,train_2k,1000,0.789,0.7891,172.2932,104.0,modernbert_linear_probe,baseline/exp02_failure_synth/20260530_104131
2026-05-29 09:54:37,legacy,synthetic,exp03_multi_iter,holdout_500,holdout_500,train_2k,500,0.79,0.7891,21.1055,,modernbert_linear_probe,synthetic/exp03__final__holdout_500/20260529_095437
2026-05-29 09:16:44,legacy,synthetic,exp02_failure_synth,eval_1000,eval_1000,train_2k,1000,0.789,0.7885,42.203,104.0,modernbert_linear_probe,synthetic/exp02__Domain__train_2k+synth__eval_1000/20260529_091644
2026-05-30 10:41:31,session,baseline,exp02_failure_synth,post,holdout_500,train_2k,500,0.788,0.7872,21.8356,104.0,modernbert_linear_probe,baseline/exp02_failure_synth/20260530_104131
2026-05-30 10:54:17,session,baseline,exp03_multi_iter,final,eval_1000,train_2k,1000,0.787,0.7864,42.9033,315.0,modernbert_linear_probe,baseline/exp03_multi_iter/20260530_105417
2026-05-31 09:51:37,session,baseline,exp11_synth_no_context,final,eval_1000,train_2k,1000,0.785,0.7854,50.1076,104.0,modernbert_linear_probe,baseline/exp11_synth_no_context/20260531_095137
2026-05-31 09:48:20,session,baseline,exp10_synth_ctx_in_question,final,eval_1000,train_2k,1000,0.785,0.7854,193.7947,104.0,modernbert_linear_probe,baseline/exp10_synth_ctx_in_question/20260531_094820
2026-05-30 10:54:17,session,baseline,exp03_multi_iter,pre_iter02,holdout_500,train_2k,500,0.786,0.7851,21.7405,315.0,modernbert_linear_probe,baseline/exp03_multi_iter/20260530_105417
2026-05-29 09:55:17,legacy,synthetic,exp03_multi_iter,eval_1000,eval_1000,train_2k,1000,0.784,0.7845,40.1155,,modernbert_linear_probe,synthetic/exp03__final__eval_1000/20260529_095517
